candidate,period_ns,wns_ns,logic_area,area_reduction_percent,functional_status,result_scope
PORTABLE_BASELINE,10,-188.19,2403588.477132,0,PASS_BASELINE,STANDARD_CELL_LOGIC_ONLY_SRAM_EXCLUDED
RADIX4_ALIGNED_DIVOPT,10,-0.09,2269320.333519,5.586154,PASS_ZERO_MISMATCH,STANDARD_CELL_LOGIC_ONLY_SRAM_EXCLUDED
PORTABLE_BASELINE,4,-181.92,2461360.721191,0,PASS_BASELINE,STANDARD_CELL_LOGIC_ONLY_SRAM_EXCLUDED
RADIX4_ALIGNED_DIVOPT,4,-4.58,2420503.457604,1.659946,PASS_ZERO_MISMATCH,STANDARD_CELL_LOGIC_ONLY_SRAM_EXCLUDED
PORTABLE_BASELINE,2,-193.33,2488408.355826,0,PASS_BASELINE,STANDARD_CELL_LOGIC_ONLY_SRAM_EXCLUDED
RADIX4_ALIGNED_DIVOPT,2,-3.62,2458499.392116,1.201931,PASS_ZERO_MISMATCH,STANDARD_CELL_LOGIC_ONLY_SRAM_EXCLUDED
