implementation,signal,valid_samples,update_buckets,xz_valid_samples,early_power_updates_1_100,previous_power_updates_801_900,late_power_updates_901_1000,late_to_early_power_ratio,late_to_early_db,peak_abs,steady_state_update,final_region_stable,schedule_normal,result,detail
reference,dout_sub_data1,174918,1000,0,7751536.184400001,384.20959999999997,373.9556083333334,4.824277400470898e-05,-43.165677278102656,21290.0,684,True,True,CONVERGED,IMPLEMENTATION_RESIDUAL_CONVERGENCE_OBSERVED
reference,dout_sub_data2,174918,1000,0,7717577.1582285715,373.81205714285716,365.26783315018315,4.732933998084234e-05,-43.248695518319586,21309.0,689,True,True,CONVERGED,IMPLEMENTATION_RESIDUAL_CONVERGENCE_OBSERVED
divopt,dout_sub_data1,174918,1000,0,7751536.184400001,384.20959999999997,373.9556083333334,4.824277400470898e-05,-43.165677278102656,21290.0,684,True,True,CONVERGED,IMPLEMENTATION_RESIDUAL_CONVERGENCE_OBSERVED
divopt,dout_sub_data2,174918,1000,0,7717577.1582285715,373.81205714285716,365.26783315018315,4.732933998084234e-05,-43.248695518319586,21309.0,689,True,True,CONVERGED,IMPLEMENTATION_RESIDUAL_CONVERGENCE_OBSERVED
