update,dout_sub_data1_moving_rms_50,dout_sub_data2_moving_rms_50
160,56.020925682,56.284298749
161,55.591894579,55.819240922
162,55.086906922,55.367740995
163,54.546508596,54.791800221
164,54.192522415,54.392757921
165,53.840153895,53.994392301
166,53.446088190,53.562066534
167,53.099435563,53.230572311
168,52.780677200,52.862084711
169,52.396456805,52.467824154
170,52.013526812,52.072138972
171,51.667366877,51.714303078
172,51.339910401,51.360139074
173,50.962284093,51.070904213
174,50.556312026,50.662203437
175,50.167496592,50.289660397
176,49.862379750,49.918729379
177,49.488936715,49.566232745
178,49.143751819,49.212234251
179,48.835645061,48.867013706
180,48.474037823,48.534792233
181,48.103439734,48.190081967
182,47.746224383,47.880415322
183,47.412771034,47.496997800
184,47.062070867,47.230318350
185,46.831163007,46.974278676
186,46.549214509,46.711751963
187,46.309595427,46.427563242
188,46.094821525,46.191639318
189,45.761253729,45.893075730
190,45.481615752,45.688451808
191,45.199032859,45.430363666
192,44.895464613,45.167189103
193,44.646646971,44.965815587
194,44.366856355,44.735081791
195,44.043046476,44.503522814
196,43.754900460,44.235223199
197,43.515049613,44.009345761
198,43.245786583,43.782971249
199,43.032454198,43.582780348
200,42.728055688,43.334652581
201,42.586974534,43.102750327
202,42.399087591,42.832334915
203,42.199669599,42.601908743
204,41.924686216,42.362332325
205,41.719905492,42.143410941
206,41.507695672,41.919938659
207,41.314916020,41.667982913
208,41.114306165,41.453387247
209,40.910508605,41.220228044
210,40.779805927,40.977936921
211,40.558265672,40.743483265
212,40.386959706,40.547535419
213,40.198528758,40.402005608
214,39.939046415,40.169294599
215,39.680004320,39.922732515
216,39.424352155,39.765932297
217,39.227099962,39.533933345
218,38.965011411,39.326806561
219,38.822238104,39.157272632
220,38.644130214,39.018540648
221,38.434065247,38.862204922
222,38.255684171,38.651233209
223,38.097951951,38.409906460
224,37.894833421,38.246366774
225,37.752580990,38.055144950
226,37.593155912,37.885410686
227,37.368509279,37.689845544
228,37.173987833,37.460835167
229,36.989516662,37.282047767
230,36.836457097,37.076517019
231,36.684905421,36.914045333
232,36.535061829,36.746952449
233,36.463155572,36.607588597
234,36.344455266,36.395343501
235,36.153662529,36.231880200
236,35.961568375,36.099476846
237,35.794349115,35.903575628
238,35.617116271,35.688367052
239,35.470889473,35.522183009
240,35.292654031,35.315925991
241,35.201133099,35.111173639
242,35.101573428,34.939063688
243,34.971568861,34.750064337
244,34.888609684,34.630490282
245,34.725710524,34.476338884
246,34.579957862,34.394250350
247,34.470701431,34.331098771
248,34.366876079,34.175147194
249,34.251653558,34.111636892
250,34.165245499,34.023101396
251,33.956698477,33.888961540
252,33.777921783,33.717530837
253,33.674431165,33.662879938
254,33.588715792,33.506555435
255,33.453469604,33.385115588
256,33.313358968,33.251445511
257,33.217597746,33.116079823
258,33.172360267,33.028256301
259,33.128504774,32.950933219
260,33.017302823,32.859421784
261,32.995369372,32.771604433
262,32.930222332,32.669416016
263,32.805853136,32.558378338
264,32.758007963,32.472185900
265,32.687425280,32.396752924
266,32.591799144,32.335351729
267,32.499510326,32.245983139
268,32.421631227,32.179920980
269,32.296108567,32.072104479
270,32.219710028,31.962109710
271,32.183898370,31.902376087
272,32.082472295,31.819234075
273,32.000666064,31.781385387
274,31.975047414,31.710099338
275,31.809703820,31.628462769
276,31.716130191,31.526007404
277,31.655562364,31.418334956
278,31.544769093,31.366805020
279,31.497276073,31.324779785
280,31.429609334,31.233853429
281,31.347010794,31.190687255
282,31.296409653,31.083776200
283,31.145610101,31.039493737
284,31.015222069,30.978639645
285,30.919380885,30.900762820
286,30.842771786,30.818363728
287,30.713274934,30.765329280
288,30.580544702,30.704445467
289,30.497492169,30.654084790
290,30.435184526,30.591847653
291,30.357515426,30.545286286
292,30.277225765,30.436095113
293,30.165238272,30.370743441
294,30.022956931,30.283183452
295,30.045886811,30.218726455
296,29.983069508,30.144742257
297,29.900092690,29.991189182
298,29.771574170,29.959090202
299,29.716621611,29.852132731
300,29.649154168,29.760710437
301,29.623862968,29.685203625
302,29.554343166,29.627128495
303,29.462956888,29.483851270
304,29.441436300,29.405688468
305,29.405257062,29.347950038
306,29.328874120,29.275727635
307,29.209233374,29.242704585
308,29.117097579,29.145879395
309,28.978031088,29.030622256
310,28.860484106,28.958470757
311,28.764992613,28.896200442
312,28.659536433,28.803293462
313,28.593909441,28.743070718
314,28.497187831,28.684765494
315,28.439025501,28.603608164
316,28.377262528,28.520202363
317,28.298177629,28.417984245
318,28.206376179,28.357682758
319,28.204173957,28.241013741
320,28.113766836,28.221272625
321,28.023398387,28.092490100
322,27.903691512,28.002969230
323,27.834014135,27.886990310
324,27.750214414,27.800141829
325,27.691038261,27.697032332
326,27.658259423,27.656974321
327,27.636009635,27.592429604
328,27.578567248,27.497451310
329,27.493700058,27.416685222
330,27.361689589,27.366438257
331,27.277130138,27.221537691
332,27.237518242,27.154257756
333,27.194156935,27.023016644
334,27.131106028,26.915750036
335,27.126512071,26.820981126
336,27.040724842,26.727537431
337,27.016853999,26.657038738
338,26.990336895,26.603950297
339,26.914435850,26.538050311
340,26.805766970,26.493662854
341,26.776185581,26.462434830
342,26.681107281,26.477360680
343,26.668763965,26.426058568
344,26.623624311,26.364547624
345,26.485023261,26.318977401
346,26.396558217,26.218375236
347,26.345150814,26.206806095
348,26.306568436,26.130944983
349,26.231936914,26.097082486
350,26.186847298,26.013675524
351,26.182965018,25.946690403
352,26.204206860,25.911012551
353,26.219811485,25.893321809
354,26.142659172,25.851910126
355,26.145260155,25.788972172
356,26.096272312,25.751981893
357,26.015331743,25.645374966
358,26.005096204,25.625197421
359,25.950685100,25.593726910
360,25.900446769,25.583550519
361,25.829524635,25.470664358
362,25.752461186,25.424656199
363,25.724714076,25.388424809
364,25.677131571,25.313899062
365,25.641125449,25.284895548
366,25.589680956,25.243565517
367,25.573374547,25.222382350
368,25.550503490,25.178178761
369,25.422669299,25.164301245
370,25.390391884,25.075451855
371,25.323633231,25.055839354
372,25.347119307,25.032995369
373,25.320728945,25.043235756
374,25.281268051,24.956783218
375,25.271877086,24.995110379
376,25.211455446,24.922607064
377,25.112014199,24.914519003
378,25.050540912,24.886358857
379,24.980094933,24.852150237
380,24.964809518,24.810718882
381,24.889502090,24.813751947
382,24.795276048,24.787911800
383,24.764481478,24.749229137
384,24.731770198,24.730261393
385,24.685315473,24.671484986
386,24.663078246,24.642156677
387,24.565897384,24.607708432
388,24.563966641,24.545772985
389,24.530692146,24.506997251
390,24.524026703,24.435613354
391,24.451907317,24.405634010
392,24.393324614,24.342078794
393,24.368727032,24.332961771
394,24.353738346,24.275502054
395,24.319457231,24.208270133
396,24.317953391,24.194608608
397,24.321961857,24.127712579
398,24.280602487,24.072034753
399,24.268189643,24.040651287
400,24.214644919,24.030235716
401,24.131475593,23.989271411
402,24.058371872,23.945645593
403,23.955566010,23.911728144
404,23.918872405,23.837233780
405,23.835426215,23.823748056
406,23.823587351,23.764032847
407,23.798403308,23.772127737
408,23.754282621,23.711243867
409,23.725694330,23.662387272
410,23.674765348,23.555743006
411,23.620083464,23.539857992
412,23.641544547,23.531719626
413,23.617201963,23.469038571
414,23.555684785,23.432712178
415,23.515935023,23.381140141
416,23.452707428,23.324677306
417,23.432319561,23.270233592
418,23.398034105,23.239960659
419,23.413405196,23.201578764
420,23.394675829,23.185746853
421,23.396473483,23.113446921
422,23.331457612,23.086607126
423,23.281654335,23.063140661
424,23.236653312,23.054972813
425,23.181655309,22.929382273
426,23.166137849,22.929424639
427,23.161070787,22.857613924
428,23.147107194,22.785732378
429,23.185221894,22.752635012
430,23.163979426,22.706396833
431,23.188248255,22.666637535
432,23.128611841,22.657887936
433,23.097801998,22.714981840
434,23.055126483,22.711180381
435,23.064850190,22.705055447
436,23.025876127,22.713213272
437,23.035852801,22.704058794
438,22.941505742,22.693024731
439,22.920895021,22.677394660
440,22.883166614,22.671721845
441,22.850665511,22.629507917
442,22.844392873,22.631835984
443,22.799593981,22.586620565
444,22.814992564,22.553752934
445,22.873183300,22.556405489
446,22.878943532,22.560653486
447,22.904365149,22.533652294
448,22.929514355,22.540508297
449,22.946163078,22.538538424
450,22.906735129,22.496755322
451,22.891430711,22.486968925
452,22.898159627,22.466243885
453,22.875708888,22.482917960
454,22.854011214,22.494347226
455,22.818238319,22.455388154
456,22.797791873,22.435553417
457,22.772492178,22.388124403
458,22.759859402,22.414319403
459,22.757757861,22.414969488
460,22.749681316,22.426624483
461,22.792427314,22.418471975
462,22.744001407,22.387552664
463,22.696005942,22.398665777
464,22.732290438,22.363247911
465,22.688380916,22.399767856
466,22.721000984,22.421591635
467,22.709982701,22.396438492
468,22.702601487,22.401635144
469,22.704466521,22.403900171
470,22.643227937,22.400964265
471,22.608486397,22.418918032
472,22.558128088,22.395808281
473,22.523800745,22.375376773
474,22.495025482,22.383424990
475,22.463626472,22.390449495
476,22.430606641,22.373277428
477,22.424642058,22.361781171
478,22.414959291,22.376886034
479,22.399216823,22.325539507
480,22.369228865,22.326343185
481,22.285644322,22.294088903
482,22.363687404,22.259546908
483,22.358650611,22.234007415
484,22.340855592,22.176270458
485,22.269210006,22.224755824
486,22.269050913,22.196360062
487,22.251089219,22.169422958
488,22.279384449,22.156309646
489,22.257629190,22.122392017
490,22.247963631,22.097772351
491,22.302558469,22.071929167
492,22.285677656,22.058076590
493,22.279512690,22.031489153
494,22.242689971,22.056594738
495,22.171655006,22.035215970
496,22.111910171,21.973846792
497,22.052990727,21.996732225
498,22.008785259,21.972619325
499,21.961280212,21.916157119
500,21.967729579,21.919608964
501,21.968098949,21.906721734
502,21.922596301,21.865589404
503,21.918594845,21.814406773
504,21.904149639,21.748171680
505,21.876494888,21.749072887
506,21.898939309,21.722415020
507,21.888016291,21.727541443
508,21.867167822,21.695389899
509,21.801116616,21.639506200
510,21.791560621,21.622504150
511,21.751397985,21.607281841
512,21.764235407,21.568956528
513,21.739204874,21.579882166
514,21.730378999,21.562623747
515,21.754686851,21.507184182
516,21.709384409,21.495817533
517,21.648308413,21.505956650
518,21.646452695,21.472403552
519,21.620516711,21.413643181
520,21.658924917,21.370048466
521,21.628113979,21.333372917
522,21.665954860,21.288185858
523,21.676243744,21.265368224
524,21.684867667,21.236650260
525,21.715063896,21.225397186
526,21.678987852,21.223332174
527,21.625210156,21.257238095
528,21.640947959,21.285724257
529,21.596399171,21.294181633
530,21.613207602,21.312783555
531,21.596203370,21.298456014
532,21.509261792,21.291455026
533,21.475729823,21.244470877
534,21.473672918,21.293956218
535,21.449765899,21.233647153
536,21.437907680,21.244320249
537,21.466417626,21.231386470
538,21.497593221,21.209162440
539,21.509864846,21.229117470
540,21.571528855,21.230724367
541,21.540587603,21.242612161
542,21.588544581,21.207599716
543,21.617099052,21.227591210
544,21.568977723,21.186990617
545,21.609868116,21.210073079
546,21.622366727,21.216255224
547,21.586948438,21.198134689
548,21.588224303,21.174942064
549,21.563230609,21.178279979
550,21.533500810,21.183125360
551,21.515336723,21.152140047
552,21.532598543,21.180349383
553,21.536533744,21.175063501
554,21.531178722,21.203816368
555,21.585608963,21.196414791
556,21.503169202,21.195463126
557,21.510196917,21.175837983
558,21.513867953,21.144466348
559,21.551808675,21.174437419
560,21.552095026,21.212074728
561,21.552336300,21.183440972
562,21.538290156,21.270521520
563,21.567470214,21.192184543
564,21.494326162,21.235146069
565,21.446992463,21.221280424
566,21.416666407,21.206044960
567,21.400176234,21.184244819
568,21.374254206,21.176911956
569,21.316381360,21.178250299
570,21.300736406,21.182340354
571,21.307964976,21.185267118
572,21.321168555,21.176866084
573,21.299990610,21.132634208
574,21.257955822,21.124628822
575,21.203401344,21.127122717
576,21.236561465,21.085924892
577,21.256571421,21.058335302
578,21.227112044,20.990038454
579,21.190776969,21.016412634
580,21.168178274,20.979707202
581,21.175592419,20.974823003
582,21.186515927,20.952967741
583,21.167093059,20.958503218
584,21.174199934,20.902524796
585,21.202282896,20.889953840
586,21.208631666,20.862850100
587,21.167190245,20.866654191
588,21.093687614,20.861453175
589,21.075101084,20.829169108
590,21.001994463,20.823665109
591,20.964326162,20.802392719
592,20.940440710,20.802546547
593,20.904069324,20.766805931
594,20.888066313,20.770795431
595,20.862592634,20.717258506
596,20.846793518,20.694485118
597,20.841488842,20.647169297
598,20.809022768,20.627000336
599,20.811559974,20.618848520
600,20.828560063,20.569186386
601,20.786792510,20.576813581
602,20.774773164,20.542797139
603,20.709351925,20.531906877
604,20.714022855,20.504112479
605,20.669820650,20.490756104
606,20.697094344,20.468375607
607,20.679715389,20.488491543
608,20.686939979,20.474028147
609,20.658950326,20.444542408
610,20.630559857,20.418090018
611,20.567611154,20.443175599
612,20.575977672,20.337200257
613,20.558393489,20.359935447
614,20.610116795,20.305191454
615,20.613571119,20.280340938
616,20.652869742,20.257629251
617,20.639980620,20.233107240
618,20.678131996,20.206802249
619,20.674754792,20.224251355
620,20.645146092,20.242447622
621,20.618205548,20.278577014
622,20.597134336,20.286730357
623,20.570661494,20.313733567
624,20.576508103,20.297208816
625,20.551412882,20.281552491
626,20.517454590,20.304530107
627,20.477750993,20.287181033
628,20.449894167,20.308466918
629,20.460076805,20.302641630
630,20.448882610,20.307822560
631,20.468939536,20.283147121
632,20.535772273,20.285893762
633,20.560336295,20.298548857
634,20.604468309,20.303941911
635,20.601836257,20.311814999
636,20.638668285,20.324006916
637,20.629648567,20.287009214
638,20.652927845,20.279405458
639,20.669065913,20.312439538
640,20.634592315,20.301788802
641,20.662916403,20.318661373
642,20.613479640,20.286893728
643,20.602751550,20.301014753
644,20.627640264,20.289501860
645,20.602937377,20.291892822
646,20.601231586,20.299925404
647,20.602707173,20.327487372
648,20.638842714,20.323424908
649,20.636084900,20.307003718
650,20.609376507,20.331214566
651,20.624110717,20.305174569
652,20.628753858,20.325086540
653,20.673187604,20.355118696
654,20.666696467,20.382636868
655,20.667799662,20.352780084
656,20.683765891,20.410745069
657,20.655915790,20.376563568
658,20.607552014,20.394111195
659,20.563546109,20.386936994
660,20.539286397,20.385386923
661,20.554098653,20.359744596
662,20.509476555,20.370912035
663,20.473615076,20.371459026
664,20.458476413,20.352041667
665,20.464430466,20.341731911
666,20.470430242,20.336391027
667,20.476383609,20.316504199
668,20.387831104,20.321130452
669,20.423837613,20.287859846
670,20.423675337,20.269354772
671,20.428361238,20.207845718
672,20.393318233,20.215479218
673,20.376039150,20.217313655
674,20.377741358,20.232310792
675,20.383576022,20.195892086
676,20.363623029,20.175294652
677,20.373164422,20.177583035
678,20.418064831,20.147592554
679,20.409059613,20.117017672
680,20.400554614,20.119772790
681,20.398851508,20.130199062
682,20.312554879,20.126761147
683,20.286857111,20.100911138
684,20.226559626,20.118378236
685,20.205948205,20.078801899
686,20.152515618,20.064720994
687,20.176260449,20.067266879
688,20.171748278,20.076692955
689,20.130264351,20.010048904
690,20.147110392,19.987361721
691,20.111909762,19.922131269
692,20.107377466,19.930682735
693,20.114256493,19.910462433
694,20.105055512,19.898600094
695,20.081684619,19.871176541
696,20.063143181,19.849758545
697,20.021371439,19.851592235
698,20.006521794,19.812775099
699,20.012621732,19.828579662
700,20.014112164,19.837551692
701,20.015137129,19.833270748
702,20.007221553,19.788862668
703,19.994190585,19.765195962
704,19.954345033,19.754441092
705,19.952383316,19.783167448
706,19.922868411,19.706149874
707,19.929877069,19.693984578
708,19.953574689,19.672719327
709,19.989208517,19.621443081
710,20.022712817,19.627671429
711,20.029030360,19.610198513
712,20.082461431,19.609761418
713,20.028188706,19.620980025
714,20.012053511,19.669515209
715,19.986858540,19.709446611
716,19.974234832,19.665360409
717,19.957981576,19.713145723
718,19.973279293,19.725501985
719,19.895283002,19.734764105
720,19.893752070,19.734080745
721,19.882247645,19.746276322
722,19.864725377,19.741544302
723,19.870293693,19.744001621
724,19.877295016,19.735887544
725,19.918436542,19.729597780
726,19.969010277,19.739761180
727,20.004182420,19.756005958
728,20.022381762,19.766439090
729,20.069721331,19.765360753
730,20.112429703,19.776673128
731,20.075984231,19.757139758
732,20.121087730,19.788149412
733,20.126599315,19.772257621
734,20.119204756,19.770130428
735,20.125446579,19.803664884
736,20.128041563,19.786202985
737,20.081235022,19.808468607
738,20.060559742,19.767332358
739,20.079866249,19.804940221
740,20.087562605,19.827954293
741,20.096134667,19.845981241
742,20.147793924,19.853028556
743,20.131922057,19.831902149
744,20.124694141,19.853037191
745,20.160175736,19.853235792
746,20.156082386,19.876024322
747,20.196460793,19.894935465
748,20.201663298,19.920160642
749,20.191259778,19.935464450
750,20.211999265,19.915728171
751,20.152912586,19.931875404
752,20.127882580,19.964829075
753,20.084831519,19.937533878
754,20.069470774,19.938548450
755,20.053263361,19.915788424
756,20.036660686,19.906487098
757,20.022430279,19.923399021
758,20.032770296,19.906742576
759,20.039024784,19.946267821
760,20.036692057,19.874011745
